Round,Turn,UnitName,UnitIdr,UnitAccuracy,HitSuccess,HitRollResult,TargetName,TargetIdr,TargetDodge,TargetAc,Damage,TargetRemainHp
5,3,Troll,53,20,False,20.572456462263094,Randy Savage,20,32,2,0,55
5,4,Goblin B,51,20,False,20.489763209198962,Randy Savage,20,32,2,0,55
5,5,Goblin A,50,20,False,20.20524024429106,Randy Savage,20,32,2,0,55
6,0,Randy Savage,20,20,False,20.21776474365999,Goblin C,52,30,0,0,5
6,1,Link,10,50,True,50.472297331170566,Goblin C,52,30,0,5,0
6,2,Troll,53,20,False,20.09005684137034,Randy Savage,20,32,2,0,55
6,3,Goblin B,51,20,False,20.04601747100372,Randy Savage,20,32,2,0,55
6,4,Goblin A,50,20,False,20.950139618710192,Randy Savage,20,32,2,0,55
7,0,Randy Savage,20,20,False,20.02683707289308,Troll,53,30,0,0,20
7,1,Link,10,50,True,50.817945493185476,Troll,53,30,0,5,15
7,2,Troll,53,20,False,20.611071421676424,Randy Savage,20,32,2,0,55
7,3,Goblin B,51,20,False,20.55933538001217,Randy Savage,20,32,2,0,55
7,4,Goblin A,50,20,False,20.89607128001653,Randy Savage,20,32,2,0,55
8,0,Randy Savage,20,20,False,20.669968908146355,Troll,53,30,0,0,15
8,1,Link,10,50,True,50.023119136077426,Troll,53,30,0,5,10
8,2,Troll,53,20,False,20.605686642937698,Randy Savage,20,32,2,0,55
8,3,Goblin B,51,20,False,20.168578413962063,Randy Savage,20,32,2,0,55
8,4,Goblin A,50,20,False,20.577900812348236,Randy Savage,20,32,2,0,55
9,0,Randy Savage,20,20,False,20.640489018205734,Troll,53,30,0,0,10
9,1,Link,10,50,True,50.022716350081865,Troll,53,30,0,5,5
9,2,Troll,53,20,False,20.212053198075484,Randy Savage,20,32,2,0,55
9,3,Goblin B,51,20,False,20.153058601593383,Randy Savage,20,32,2,0,55
9,4,Goblin A,50,20,False,20.69471020494952,Randy Savage,20,32,2,0,55
10,0,Randy Savage,20,20,False,20.994680137541433,Troll,53,30,0,0,5
10,1,Link,10,50,True,50.706179918194444,Troll,53,30,0,5,0
10,2,Goblin B,51,20,False,20.458942332122817,Randy Savage,20,32,2,0,55
10,3,Goblin A,50,20,False,20.795352616480464,Randy Savage,20,32,2,0,55
11,0,Randy Savage,20,20,False,20.82343356282084,Goblin B,51,30,0,0,10
11,1,Link,10,50,True,50.49015948948785,Goblin B,51,30,0,5,5
11,2,Goblin B,51,20,False,20.58707458389013,Randy Savage,20,32,2,0,55
11,3,Goblin A,50,20,False,20.549493926301782,Randy Savage,20,32,2,0,55
12,0,Randy Savage,20,20,False,20.47905234448536,Goblin B,51,30,0,0,5
12,1,Link,10,50,True,50.451611937327066,Goblin B,51,30,0,5,0
12,2,Goblin A,50,20,False,20.884113564608946,Randy Savage,20,32,2,0,55
13,0,Randy Savage,20,20,False,20.077203886904826,Goblin A,50,30,0,0,10
13,1,Link,10,50,True,50.32033041583001,Goblin A,50,30,0,5,5
13,2,Goblin A,50,20,False,20.40580353040304,Randy Savage,20,32,2,0,55
14,0,Randy Savage,20,20,False,20.96412709833185,Goblin A,50,30,0,0,5
14,1,Link,10,50,True,50.09290624299907,Goblin A,50,30,0,5,0
